date,title,artist,rank,ID,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,mode
2000-02-19,Deep Inside,Mary J. Blige,94.0,spotify:track:5hXIG7ldYtrTPV7Unonr8N,0.0341,0.762,326000.0,0.566,2.73e-06,0.0,0.0779,-6.749,0.0385,129.28,4.0,1.0
2000-02-19,Smoke Rings In The Dark,Gary Allan,92.0,spotify:track:47tVV7s6UzdcyTJBoIW7aX,0.277,0.534,257646.0,0.596,0.000359,2.0,0.148,-7.148,0.0279,114.957,4.0,1.0
2000-02-19,Stay The Night,IMx,78.0,spotify:track:15YtixaZ1VgE3fPfXahlzD,0.0111,0.585,219467.0,0.709,0.0,11.0,0.202,-5.604,0.0611,183.22,4.0,1.0
2000-02-26,Big Deal,LeAnn Rimes,70.0,spotify:track:0rzXtJ0DE4wTbSeOfBhp1F,0.00472,0.498,188267.0,0.806,0.0,2.0,0.127,-5.297,0.0394,151.781,4.0,1.0
2000-02-26,Black Balloon,Goo Goo Dolls,53.0,spotify:track:5zmaypMaWb21FUGBxbw8hT,0.057,0.339,249533.0,0.625,0.000102,1.0,0.229,-8.57,0.028,104.68,4.0,1.0
2000-02-26,Dancin',Guy,94.0,spotify:track:7K8Ew4j9qpkqEFlTdMdoqC,0.117,0.798,248627.0,0.703,0.0,10.0,0.121,-4.05,0.135,101.015,4.0,0.0
2000-02-26,I Wanna Love You Forever,Jessica Simpson,54.0,spotify:track:5gZEhPrN1VLqTG1nIAXeNK,0.156,0.59,263800.0,0.666,0.0,4.0,0.136,-4.047,0.0244,104.042,4.0,0.0
2000-02-26,Sexual (Li Da Di),Amber,50.0,spotify:track:4jCWcK6PhbnzOCAFJEztUm,0.000192,0.623,226227.0,0.898,0.303,4.0,0.138,-6.604,0.0309,130.993,4.0,0.0
2000-02-26,Waiting For Tonight,Jennifer Lopez,74.0,spotify:track:5yaCquc7koPqtgj7v0lwHX,0.00341,0.695,246427.0,0.945,0.0727,10.0,0.103,-6.165,0.0418,125.013,4.0,0.0
2000-02-26,When I Said I Do,Clint Black,84.0,spotify:track:6NBaOUmCVpNAaqBDFiJkCn,0.308,0.507,268960.0,0.411,0.0,10.0,0.106,-8.657,0.0276,102.806,3.0,1.0
2000-02-26,Big Deal,LeAnn Rimes,70.0,spotify:track:0rzXtJ0DE4wTbSeOfBhp1F,0.00472,0.498,188267.0,0.806,0.0,2.0,0.127,-5.297,0.0394,151.781,4.0,1.0
2000-02-26,Black Balloon,Goo Goo Dolls,53.0,spotify:track:5zmaypMaWb21FUGBxbw8hT,0.057,0.339,249533.0,0.625,0.000102,1.0,0.229,-8.57,0.028,104.68,4.0,1.0
2000-02-26,Dancin',Guy,94.0,spotify:track:7K8Ew4j9qpkqEFlTdMdoqC,0.117,0.798,248627.0,0.703,0.0,10.0,0.121,-4.05,0.135,101.015,4.0,0.0
2000-02-26,I Wanna Love You Forever,Jessica Simpson,54.0,spotify:track:5gZEhPrN1VLqTG1nIAXeNK,0.156,0.59,263800.0,0.666,0.0,4.0,0.136,-4.047,0.0244,104.042,4.0,0.0
2000-02-26,Sexual (Li Da Di),Amber,50.0,spotify:track:4jCWcK6PhbnzOCAFJEztUm,0.000192,0.623,226227.0,0.898,0.303,4.0,0.138,-6.604,0.0309,130.993,4.0,0.0
2000-02-26,Waiting For Tonight,Jennifer Lopez,74.0,spotify:track:5yaCquc7koPqtgj7v0lwHX,0.00341,0.695,246427.0,0.945,0.0727,10.0,0.103,-6.165,0.0418,125.013,4.0,0.0
2000-02-26,When I Said I Do,Clint Black,84.0,spotify:track:6NBaOUmCVpNAaqBDFiJkCn,0.308,0.507,268960.0,0.411,0.0,10.0,0.106,-8.657,0.0276,102.806,3.0,1.0
2000-03-04,Freakin' It,Will Smith,99.0,spotify:track:6Kqfv9iCW7B7cdq6uujZqf,0.198,0.873,239293.0,0.833,0.0,1.0,0.237,-5.511,0.189,112.001,4.0,1.0
2000-03-04,He Didn't Have To Be,Brad Paisley,67.0,spotify:track:1LONTBZZRxDVx4wEvdcCLd,0.105,0.476,282227.0,0.443,7.97e-06,9.0,0.123,-7.563,0.0282,72.888,4.0,1.0
2000-03-04,Learn To Fly,Foo Fighters,50.0,spotify:track:5OQsiBsky2k2kDKy2bX2eT,1.83e-05,0.465,235293.0,0.919,2.07e-05,4.0,0.262,-4.025,0.0408,135.997,4.0,1.0
2000-03-04,U Know What's Up,Donell Jones,45.0,spotify:track:5PMKzsUsTpZZGsCcJBuhP2,0.0402,0.854,243733.0,0.543,5.73e-05,8.0,0.0419,-6.166,0.0844,103.032,4.0,0.0
2000-03-04,Freakin' It,Will Smith,99.0,spotify:track:6Kqfv9iCW7B7cdq6uujZqf,0.198,0.873,239293.0,0.833,0.0,1.0,0.237,-5.511,0.189,112.001,4.0,1.0
2000-03-04,He Didn't Have To Be,Brad Paisley,67.0,spotify:track:1LONTBZZRxDVx4wEvdcCLd,0.105,0.476,282227.0,0.443,7.97e-06,9.0,0.123,-7.563,0.0282,72.888,4.0,1.0
2000-03-04,Learn To Fly,Foo Fighters,50.0,spotify:track:5OQsiBsky2k2kDKy2bX2eT,1.83e-05,0.465,235293.0,0.919,2.07e-05,4.0,0.262,-4.025,0.0408,135.997,4.0,1.0
2000-03-04,U Know What's Up,Donell Jones,45.0,spotify:track:5PMKzsUsTpZZGsCcJBuhP2,0.0402,0.854,243733.0,0.543,5.73e-05,8.0,0.0419,-6.166,0.0844,103.032,4.0,0.0
2000-03-11,Candy,Mandy Moore,86.0,spotify:track:2YhE6xeWN0R9RVwEOG9lR1,0.178,0.813,234133.0,0.836,6.63e-05,7.0,0.154,-4.23,0.0881,100.491,4.0,1.0
2000-03-11,Girl On TV,LFO,94.0,spotify:track:4DJwdQDai9DLYBL9TNrEDo,0.131,0.688,247600.0,0.716,0.0,4.0,0.134,-4.001,0.0297,96.043,4.0,0.0
2000-03-11,Guerrilla Radio,Rage Against The Machine,98.0,spotify:track:1wsRitfRRtWyEapl0q22o8,0.0129,0.599,206200.0,0.957,7.06e-05,11.0,0.155,-5.764,0.188,103.68,4.0,1.0
2000-03-11,My Love Is Your Love,Whitney Houston,49.0,spotify:track:1ckU1EhAO0Nr73QYw24SWJ,0.0561,0.77,261573.0,0.475,4.72e-06,7.0,0.0607,-9.512,0.159,82.511,4.0,1.0
2000-03-11,Pop A Top,Alan Jackson,100.0,spotify:track:3KIUKvwteP1HFA5UcvvL11,0.291,0.699,185427.0,0.477,0.0,2.0,0.164,-9.339,0.031,118.382,4.0,1.0
2000-03-11,U Understand,Juvenile,96.0,spotify:track:5V6r4UQ0z7gxkkREnza5Y0,0.0585,0.901,259293.0,0.829,0.0,5.0,0.0498,-4.036,0.146,99.766,4.0,0.0
2000-03-11,What Do You Say,Reba,71.0,spotify:track:5hc4uC9JxovPgPF3xRHUEV,0.141,0.461,209933.0,0.413,0.0,8.0,0.1,-12.555,0.0432,171.186,4.0,1.0
